study_id,volume_id,reconstruction
train_17709_a,train_17709_a_1,1
train_17236_a,train_17236_a_1,1
train_11235_a,train_11235_a_1,1
train_5262_a,train_5262_a_1,1
train_1543_a,train_1543_a_1,1
train_5451_a,train_5451_a_1,1
train_18689_a,train_18689_a_1,1
train_16868_a,train_16868_a_1,1
train_18619_a,train_18619_a_1,1
train_367_a,train_367_a_1,1
train_12449_a,train_12449_a_1,1
train_16197_a,train_16197_a_1,1
train_3727_a,train_3727_a_1,1
train_10600_a,train_10600_a_1,1
train_12159_a,train_12159_a_1,1
train_12086_a,train_12086_a_1,1
train_6808_a,train_6808_a_1,1
train_9837_a,train_9837_a_1,1
train_12016_a,train_12016_a_1,1
train_6195_a,train_6195_a_1,1
train_12490_a,train_12490_a_1,1
train_14521_a,train_14521_a_1,1
train_5839_a,train_5839_a_1,1
train_323_a,train_323_a_1,1
train_10635_a,train_10635_a_1,1
train_15279_a,train_15279_a_1,1
train_17206_a,train_17206_a_1,1
train_18323_a,train_18323_a_1,1
train_559_a,train_559_a_1,1
train_3067_a,train_3067_a_1,1
train_14809_a,train_14809_a_1,1
train_15480_a,train_15480_a_1,1
train_14783_a,train_14783_a_1,1
train_4234_a,train_4234_a_1,1
train_11102_a,train_11102_a_1,1
train_5303_a,train_5303_a_1,1
train_19716_a,train_19716_a_1,1
train_1099_a,train_1099_a_1,1
train_19457_a,train_19457_a_1,1
train_15457_a,train_15457_a_1,1
train_11855_a,train_11855_a_1,1
train_13881_a,train_13881_a_1,1
train_17365_a,train_17365_a_1,1
train_13792_a,train_13792_a_1,1
train_7602_a,train_7602_a_1,1
train_5018_a,train_5018_a_1,1
train_6043_a,train_6043_a_1,1
train_2228_a,train_2228_a_1,1
train_17863_a,train_17863_a_1,1
train_7545_a,train_7545_a_1,1
train_16836_a,train_16836_a_1,1
train_1472_a,train_1472_a_1,1
train_3135_a,train_3135_a_1,1
train_6390_a,train_6390_a_1,1
train_9761_a,train_9761_a_1,1
train_9699_a,train_9699_a_1,1
train_5821_a,train_5821_a_1,1
train_5518_a,train_5518_a_1,1
train_5274_a,train_5274_a_1,1
train_6762_a,train_6762_a_1,1
train_17901_a,train_17901_a_1,1
train_10368_a,train_10368_a_1,1
train_9992_a,train_9992_a_1,1
train_9329_a,train_9329_a_1,1
train_19980_a,train_19980_a_1,1
train_8010_a,train_8010_a_1,1
train_16003_a,train_16003_a_1,1
train_8034_a,train_8034_a_1,1
train_16812_a,train_16812_a_1,1
train_4062_a,train_4062_a_1,1
train_17727_a,train_17727_a_1,1
train_16304_a,train_16304_a_1,1
train_18568_a,train_18568_a_1,1
train_16966_a,train_16966_a_1,1
train_5309_a,train_5309_a_1,1
train_1037_a,train_1037_a_1,1
train_12472_a,train_12472_a_1,1
train_52_a,train_52_a_1,1
train_8458_a,train_8458_a_1,1
train_5220_a,train_5220_a_1,1
train_19653_a,train_19653_a_1,1
train_13980_a,train_13980_a_1,1
train_8353_a,train_8353_a_1,1
train_10717_a,train_10717_a_1,1
train_14089_a,train_14089_a_1,1
train_16543_a,train_16543_a_1,1
train_14408_a,train_14408_a_1,1
train_18451_a,train_18451_a_1,1
train_13989_a,train_13989_a_1,1
train_19758_a,train_19758_a_1,1
train_398_a,train_398_a_1,1
train_7888_a,train_7888_a_1,1
train_12520_a,train_12520_a_1,1
train_17388_a,train_17388_a_1,1
train_13729_a,train_13729_a_1,1
train_8171_a,train_8171_a_1,1
train_10252_a,train_10252_a_1,1
train_18607_a,train_18607_a_1,1
train_14892_a,train_14892_a_1,1
train_7548_a,train_7548_a_1,1
train_4653_a,train_4653_a_1,1
train_5061_a,train_5061_a_1,1
train_8632_a,train_8632_a_1,1
train_15698_a,train_15698_a_1,1
train_17665_a,train_17665_a_1,1
train_5828_a,train_5828_a_1,1
train_11179_a,train_11179_a_1,1
train_19796_a,train_19796_a_1,1
train_12949_a,train_12949_a_1,1
train_10507_a,train_10507_a_1,1
train_12198_a,train_12198_a_1,1
train_6058_a,train_6058_a_1,1
train_15684_a,train_15684_a_1,1
train_15031_a,train_15031_a_1,1
train_8105_a,train_8105_a_1,1
train_18819_a,train_18819_a_1,1
train_12129_a,train_12129_a_1,1
train_1208_a,train_1208_a_1,1
train_9327_a,train_9327_a_1,1
train_4383_a,train_4383_a_1,1
train_15815_a,train_15815_a_1,1
train_12732_a,train_12732_a_1,1
train_41_a,train_41_a_1,1
train_6609_a,train_6609_a_1,1
train_17011_a,train_17011_a_1,1
train_11786_a,train_11786_a_1,1
train_4481_a,train_4481_a_1,1
train_14030_a,train_14030_a_1,1
train_3131_a,train_3131_a_1,1
train_3871_a,train_3871_a_1,1
train_14119_a,train_14119_a_1,1
train_12780_a,train_12780_a_1,1
train_287_a,train_287_a_1,1
train_9219_a,train_9219_a_1,1
train_2076_a,train_2076_a_1,1
train_3148_a,train_3148_a_1,1
train_14171_a,train_14171_a_1,1
train_5694_a,train_5694_a_1,1
train_14780_a,train_14780_a_1,1
train_5799_a,train_5799_a_1,1
train_19763_a,train_19763_a_1,1
train_8705_a,train_8705_a_1,1
train_110_a,train_110_a_1,1
train_10445_a,train_10445_a_1,1
train_16831_a,train_16831_a_1,1
train_6117_a,train_6117_a_1,1
train_1985_a,train_1985_a_1,1
train_4982_a,train_4982_a_1,1
train_10996_a,train_10996_a_1,1
train_11926_a,train_11926_a_1,1
train_16079_a,train_16079_a_1,1
train_2394_a,train_2394_a_1,1
train_5787_a,train_5787_a_1,1
train_19407_a,train_19407_a_1,1
train_13739_a,train_13739_a_1,1
train_389_a,train_389_a_1,1
train_13905_a,train_13905_a_1,1
train_8897_a,train_8897_a_1,1
train_19478_a,train_19478_a_1,1
train_15702_a,train_15702_a_1,1
train_7378_a,train_7378_a_1,1
train_18002_a,train_18002_a_1,1
train_11630_a,train_11630_a_1,1
train_2795_a,train_2795_a_1,1
train_1900_a,train_1900_a_1,1
train_5264_a,train_5264_a_1,1
train_6986_a,train_6986_a_1,1
train_14961_a,train_14961_a_1,1
train_13068_a,train_13068_a_1,1
train_2918_a,train_2918_a_1,1
train_17739_a,train_17739_a_1,1
train_9270_a,train_9270_a_1,1
train_19447_a,train_19447_a_1,1
train_10108_a,train_10108_a_1,1
train_5817_a,train_5817_a_1,1
train_17490_a,train_17490_a_1,1
train_10006_a,train_10006_a_1,1
train_5288_a,train_5288_a_1,1
train_6962_a,train_6962_a_1,1
train_16858_a,train_16858_a_1,1
train_18271_a,train_18271_a_1,1
train_3923_a,train_3923_a_1,1
train_11065_a,train_11065_a_1,1
train_16819_a,train_16819_a_1,1
train_1893_a,train_1893_a_1,1
train_18050_a,train_18050_a_1,1
train_5891_a,train_5891_a_1,1
train_13874_a,train_13874_a_1,1
train_16795_a,train_16795_a_1,1
train_3589_a,train_3589_a_1,1
train_4072_a,train_4072_a_1,1
train_11402_a,train_11402_a_1,1
train_16031_a,train_16031_a_1,1
train_14345_a,train_14345_a_1,1
train_2256_a,train_2256_a_1,1
train_4917_a,train_4917_a_1,1
train_15165_a,train_15165_a_1,1
train_3443_a,train_3443_a_1,1
train_2654_a,train_2654_a_1,1
train_3161_a,train_3161_a_1,1
train_15572_a,train_15572_a_1,1
train_1531_a,train_1531_a_1,1
train_19209_a,train_19209_a_1,1
train_3376_a,train_3376_a_1,1
train_2978_a,train_2978_a_1,1
train_9349_a,train_9349_a_1,1
train_19945_a,train_19945_a_1,1
train_12359_a,train_12359_a_1,1
train_18009_a,train_18009_a_1,1
train_14216_a,train_14216_a_1,1
train_6241_a,train_6241_a_1,1
train_19695_a,train_19695_a_1,1
train_1903_a,train_1903_a_1,1
train_17791_a,train_17791_a_1,1
train_11485_a,train_11485_a_1,1
train_15814_a,train_15814_a_1,1
train_9157_a,train_9157_a_1,1
train_12079_a,train_12079_a_1,1
train_1215_a,train_1215_a_1,1
train_5485_a,train_5485_a_1,1
train_2181_a,train_2181_a_1,1
train_16489_a,train_16489_a_1,1
train_14455_a,train_14455_a_1,1
train_9304_a,train_9304_a_1,1
train_6359_a,train_6359_a_1,1
train_18000_a,train_18000_a_1,1
train_5557_a,train_5557_a_1,1
train_2262_a,train_2262_a_1,1
train_7368_a,train_7368_a_1,1
train_6773_a,train_6773_a_1,1
train_2943_a,train_2943_a_1,1
train_19658_a,train_19658_a_1,1
train_6586_a,train_6586_a_1,1
train_14844_a,train_14844_a_1,1
train_8822_a,train_8822_a_1,1
train_17424_a,train_17424_a_1,1
train_2356_a,train_2356_a_1,1
train_9297_a,train_9297_a_1,1
train_2625_a,train_2625_a_1,1
train_10982_a,train_10982_a_1,1
train_2164_a,train_2164_a_1,1
train_97_a,train_97_a_1,1
train_14753_a,train_14753_a_1,1
train_14596_a,train_14596_a_1,1
train_18317_a,train_18317_a_1,1
train_4581_a,train_4581_a_1,1
train_17518_a,train_17518_a_1,1
train_12171_a,train_12171_a_1,1
train_2545_a,train_2545_a_1,1
train_16976_a,train_16976_a_1,1
train_19839_a,train_19839_a_1,1
train_1902_a,train_1902_a_1,1
train_12313_a,train_12313_a_1,1
train_18397_a,train_18397_a_1,1
train_5558_a,train_5558_a_1,1
train_12242_a,train_12242_a_1,1
train_13105_a,train_13105_a_1,1
train_586_a,train_586_a_1,1
train_16829_a,train_16829_a_1,1
train_8838_a,train_8838_a_1,1
train_4491_a,train_4491_a_1,1
train_8267_a,train_8267_a_1,1
train_11617_a,train_11617_a_1,1
train_9520_a,train_9520_a_1,1
train_15844_a,train_15844_a_1,1
train_8512_a,train_8512_a_1,1
train_10545_a,train_10545_a_1,1
train_5130_a,train_5130_a_1,1
train_9617_a,train_9617_a_1,1
train_8089_a,train_8089_a_1,1
train_10530_a,train_10530_a_1,1
train_588_a,train_588_a_1,1
train_17800_a,train_17800_a_1,1
train_19947_a,train_19947_a_1,1
train_2333_a,train_2333_a_1,1
train_11226_a,train_11226_a_1,1
train_14541_a,train_14541_a_1,1
train_10343_a,train_10343_a_1,1
train_5278_a,train_5278_a_1,1
train_17515_a,train_17515_a_1,1
train_5170_a,train_5170_a_1,1
train_3176_a,train_3176_a_1,1
train_1272_a,train_1272_a_1,1
train_10444_a,train_10444_a_1,1
train_5321_a,train_5321_a_1,1
train_12245_a,train_12245_a_1,1
train_5938_a,train_5938_a_1,1
train_19000_a,train_19000_a_1,1
train_5440_a,train_5440_a_1,1
train_10349_a,train_10349_a_1,1
train_5627_a,train_5627_a_1,1
train_1087_a,train_1087_a_1,1
train_1708_a,train_1708_a_1,1
train_4485_a,train_4485_a_1,1
train_2403_a,train_2403_a_1,1
train_10114_a,train_10114_a_1,1
train_4969_a,train_4969_a_1,1
train_2435_a,train_2435_a_1,1
train_9927_a,train_9927_a_1,1
train_7849_a,train_7849_a_1,1
train_19609_a,train_19609_a_1,1
train_11003_a,train_11003_a_1,1
train_19053_a,train_19053_a_1,1
train_10264_a,train_10264_a_1,1
train_16755_a,train_16755_a_1,1
train_8381_a,train_8381_a_1,1
train_9504_a,train_9504_a_1,1
train_16610_a,train_16610_a_1,1
train_4210_a,train_4210_a_1,1
train_2710_a,train_2710_a_1,1
train_2877_a,train_2877_a_1,1
train_3989_a,train_3989_a_1,1
train_11850_a,train_11850_a_1,1
train_7396_a,train_7396_a_1,1
train_8880_a,train_8880_a_1,1
train_8075_a,train_8075_a_1,1
train_19069_a,train_19069_a_1,1
train_1304_a,train_1304_a_1,1
train_12429_a,train_12429_a_1,1
train_14186_a,train_14186_a_1,1
train_13813_a,train_13813_a_1,1
train_5697_a,train_5697_a_1,1
train_2236_a,train_2236_a_1,1
train_18968_a,train_18968_a_1,1
train_2376_a,train_2376_a_1,1
train_19910_a,train_19910_a_1,1
train_19450_a,train_19450_a_1,1
train_14613_a,train_14613_a_1,1
train_9819_a,train_9819_a_1,1
train_252_a,train_252_a_1,1
train_7687_a,train_7687_a_1,1
train_2527_a,train_2527_a_1,1
train_5203_a,train_5203_a_1,1
train_15864_a,train_15864_a_1,1
train_17036_a,train_17036_a_1,1
train_13343_a,train_13343_a_1,1
train_8311_a,train_8311_a_1,1
train_18794_a,train_18794_a_1,1
train_15016_a,train_15016_a_1,1
train_11296_a,train_11296_a_1,1
train_15461_a,train_15461_a_1,1
train_16361_a,train_16361_a_1,1
train_1162_a,train_1162_a_1,1
train_825_a,train_825_a_1,1
train_14243_a,train_14243_a_1,1
train_16322_a,train_16322_a_1,1
train_11673_a,train_11673_a_1,1
train_12039_a,train_12039_a_1,1
train_7603_a,train_7603_a_1,1
train_5326_a,train_5326_a_1,1
train_10517_a,train_10517_a_1,1
train_6593_a,train_6593_a_1,1
train_10110_a,train_10110_a_1,1
train_780_a,train_780_a_1,1
train_16167_a,train_16167_a_1,1
train_5030_a,train_5030_a_1,1
train_14920_a,train_14920_a_1,1
train_14057_a,train_14057_a_1,1
train_11646_a,train_11646_a_1,1
train_18289_a,train_18289_a_1,1
train_11566_a,train_11566_a_1,1
train_8417_a,train_8417_a_1,1
train_1801_a,train_1801_a_1,1
train_4456_a,train_4456_a_1,1
train_11048_a,train_11048_a_1,1
train_17912_a,train_17912_a_1,1
train_19557_a,train_19557_a_1,1
train_18730_a,train_18730_a_1,1
train_7212_a,train_7212_a_1,1
train_10596_a,train_10596_a_1,1
train_12997_a,train_12997_a_1,1
train_4770_a,train_4770_a_1,1
train_3669_a,train_3669_a_1,1
train_1471_a,train_1471_a_1,1
train_11324_a,train_11324_a_1,1
train_17559_a,train_17559_a_1,1
train_19886_a,train_19886_a_1,1
train_15382_a,train_15382_a_1,1
train_5762_a,train_5762_a_1,1
train_10401_a,train_10401_a_1,1
train_5620_a,train_5620_a_1,1
train_4764_a,train_4764_a_1,1
train_11089_a,train_11089_a_1,1
train_19206_a,train_19206_a_1,1
train_919_a,train_919_a_1,1
train_5780_a,train_5780_a_1,1
train_8917_a,train_8917_a_1,1
train_13661_a,train_13661_a_1,1
train_248_a,train_248_a_1,1
train_11791_a,train_11791_a_1,1
train_19565_a,train_19565_a_1,1
train_16011_a,train_16011_a_1,1
train_16648_a,train_16648_a_1,1
train_9945_a,train_9945_a_1,1
train_4611_a,train_4611_a_1,1
train_6073_a,train_6073_a_1,1
train_4688_a,train_4688_a_1,1
train_14595_a,train_14595_a_1,1
train_17225_a,train_17225_a_1,1
train_12225_a,train_12225_a_1,1
train_3729_a,train_3729_a_1,1
train_3976_a,train_3976_a_1,1
train_14535_a,train_14535_a_1,1
train_19320_a,train_19320_a_1,1
train_375_a,train_375_a_1,1
train_7491_a,train_7491_a_1,1
train_8549_a,train_8549_a_1,1
train_1056_a,train_1056_a_1,1
train_17657_a,train_17657_a_1,1
train_8606_a,train_8606_a_1,1
train_19719_a,train_19719_a_1,1
train_4368_a,train_4368_a_1,1
train_8945_a,train_8945_a_1,1
train_8873_a,train_8873_a_1,1
train_14294_a,train_14294_a_1,1
train_811_a,train_811_a_1,1
train_10081_a,train_10081_a_1,1
train_16299_a,train_16299_a_1,1
train_12410_a,train_12410_a_1,1
train_3001_a,train_3001_a_1,1
train_11964_a,train_11964_a_1,1
train_6360_a,train_6360_a_1,1
train_3692_a,train_3692_a_1,1
train_4204_a,train_4204_a_1,1
train_3621_a,train_3621_a_1,1
train_17477_a,train_17477_a_1,1
train_9555_a,train_9555_a_1,1
train_14717_a,train_14717_a_1,1
train_9230_a,train_9230_a_1,1
train_14514_a,train_14514_a_1,1
train_19325_a,train_19325_a_1,1
train_16967_a,train_16967_a_1,1
train_3159_a,train_3159_a_1,1
train_17747_a,train_17747_a_1,1
train_10018_a,train_10018_a_1,1
train_12604_a,train_12604_a_1,1
train_1129_a,train_1129_a_1,1
train_2160_a,train_2160_a_1,1
train_547_a,train_547_a_1,1
train_10680_a,train_10680_a_1,1
train_506_a,train_506_a_1,1
train_19253_a,train_19253_a_1,1
train_4054_a,train_4054_a_1,1
train_1419_a,train_1419_a_1,1
train_5241_a,train_5241_a_1,1
train_13708_a,train_13708_a_1,1
train_8626_a,train_8626_a_1,1
train_143_a,train_143_a_1,1
train_8041_a,train_8041_a_1,1
train_13916_a,train_13916_a_1,1
train_16613_a,train_16613_a_1,1
train_10096_a,train_10096_a_1,1
train_15975_a,train_15975_a_1,1
train_7297_a,train_7297_a_1,1
train_4541_a,train_4541_a_1,1
train_17679_a,train_17679_a_1,1
train_457_a,train_457_a_1,1
train_17132_a,train_17132_a_1,1
train_9800_a,train_9800_a_1,1
train_5355_a,train_5355_a_1,1
train_12662_a,train_12662_a_1,1
train_3683_a,train_3683_a_1,1
train_6897_a,train_6897_a_1,1
train_8165_a,train_8165_a_1,1
train_7276_a,train_7276_a_1,1
train_5158_a,train_5158_a_1,1
train_15352_a,train_15352_a_1,1
train_16905_a,train_16905_a_1,1
train_11462_a,train_11462_a_1,1
train_17606_a,train_17606_a_1,1
train_8484_a,train_8484_a_1,1
train_19556_a,train_19556_a_1,1
train_1474_a,train_1474_a_1,1
train_651_a,train_651_a_1,1
train_4583_a,train_4583_a_1,1
train_5955_a,train_5955_a_1,1
train_15510_a,train_15510_a_1,1
train_14907_a,train_14907_a_1,1
train_18727_a,train_18727_a_1,1
train_8460_a,train_8460_a_1,1
train_18746_a,train_18746_a_1,1
train_13070_a,train_13070_a_1,1
train_14909_a,train_14909_a_1,1
train_15515_a,train_15515_a_1,1
train_14008_a,train_14008_a_1,1
train_1392_a,train_1392_a_1,1
train_8668_a,train_8668_a_1,1
train_8882_a,train_8882_a_1,1
train_10453_a,train_10453_a_1,1
train_747_a,train_747_a_1,1
train_9467_a,train_9467_a_1,1
train_15618_a,train_15618_a_1,1
train_245_a,train_245_a_1,1
train_16349_a,train_16349_a_1,1
train_13444_a,train_13444_a_1,1
train_10369_a,train_10369_a_1,1
train_12167_a,train_12167_a_1,1
train_14264_a,train_14264_a_1,1
train_19640_a,train_19640_a_1,1
train_7567_a,train_7567_a_1,1
train_823_a,train_823_a_1,1
train_1986_a,train_1986_a_1,1
train_14675_a,train_14675_a_1,1
train_7406_a,train_7406_a_1,1
train_9883_a,train_9883_a_1,1
train_9419_a,train_9419_a_1,1
train_14369_a,train_14369_a_1,1
train_7009_a,train_7009_a_1,1
train_10312_a,train_10312_a_1,1
train_1805_a,train_1805_a_1,1
train_15910_a,train_15910_a_1,1
train_13488_a,train_13488_a_1,1
train_875_a,train_875_a_1,1
train_18039_a,train_18039_a_1,1
train_19244_a,train_19244_a_1,1
train_13193_a,train_13193_a_1,1
train_11868_a,train_11868_a_1,1
train_15068_a,train_15068_a_1,1
train_6288_a,train_6288_a_1,1
train_9797_a,train_9797_a_1,1
train_2790_a,train_2790_a_1,1
train_15276_a,train_15276_a_1,1
train_15306_a,train_15306_a_1,1
train_3551_a,train_3551_a_1,1
train_8318_a,train_8318_a_1,1
train_3778_a,train_3778_a_1,1
train_14425_a,train_14425_a_1,1
train_15992_a,train_15992_a_1,1
train_9481_a,train_9481_a_1,1
train_13638_a,train_13638_a_1,1
train_17991_a,train_17991_a_1,1
train_13075_a,train_13075_a_1,1
train_8746_a,train_8746_a_1,1
train_4656_a,train_4656_a_1,1
train_6219_a,train_6219_a_1,1
train_17511_a,train_17511_a_1,1
train_5121_a,train_5121_a_1,1
train_8352_a,train_8352_a_1,1
train_3577_a,train_3577_a_1,1
train_17258_a,train_17258_a_1,1
train_2949_a,train_2949_a_1,1
train_12005_a,train_12005_a_1,1
train_17621_a,train_17621_a_1,1
train_14368_a,train_14368_a_1,1
train_11537_a,train_11537_a_1,1
train_14743_a,train_14743_a_1,1
train_18778_a,train_18778_a_1,1
train_11897_a,train_11897_a_1,1
train_4928_a,train_4928_a_1,1
train_13172_a,train_13172_a_1,1
train_16988_a,train_16988_a_1,1
train_3763_a,train_3763_a_1,1
train_6297_a,train_6297_a_1,1
train_3922_a,train_3922_a_1,1
train_16058_a,train_16058_a_1,1
train_4869_a,train_4869_a_1,1
train_18958_a,train_18958_a_1,1
train_8497_a,train_8497_a_1,1
train_6846_a,train_6846_a_1,1
train_3548_a,train_3548_a_1,1
train_1507_a,train_1507_a_1,1
train_8541_a,train_8541_a_1,1
train_13026_a,train_13026_a_1,1
train_9476_a,train_9476_a_1,1
train_3318_a,train_3318_a_1,1
train_7437_a,train_7437_a_1,1
train_4316_a,train_4316_a_1,1
train_16130_a,train_16130_a_1,1
train_957_a,train_957_a_1,1
train_12992_a,train_12992_a_1,1
train_7527_a,train_7527_a_1,1
train_9917_a,train_9917_a_1,1
train_12306_a,train_12306_a_1,1
train_18116_a,train_18116_a_1,1
train_12615_a,train_12615_a_1,1
train_19728_a,train_19728_a_1,1
train_19776_a,train_19776_a_1,1
train_253_a,train_253_a_1,1
train_13287_a,train_13287_a_1,1
train_3664_a,train_3664_a_1,1
train_5211_a,train_5211_a_1,1
train_7598_a,train_7598_a_1,1
train_6584_a,train_6584_a_1,1
train_18385_a,train_18385_a_1,1
train_18833_a,train_18833_a_1,1
train_10987_a,train_10987_a_1,1
train_8223_a,train_8223_a_1,1
train_19487_a,train_19487_a_1,1
train_10500_a,train_10500_a_1,1
train_3475_a,train_3475_a_1,1
train_2433_a,train_2433_a_1,1
train_6672_a,train_6672_a_1,1
train_11049_a,train_11049_a_1,1
train_9847_a,train_9847_a_1,1
train_11947_a,train_11947_a_1,1
train_8422_a,train_8422_a_1,1
train_12988_a,train_12988_a_1,1
train_10625_a,train_10625_a_1,1
train_5150_a,train_5150_a_1,1
train_14317_a,train_14317_a_1,1
train_15054_a,train_15054_a_1,1
train_7746_a,train_7746_a_1,1
train_8948_a,train_8948_a_1,1
train_10658_a,train_10658_a_1,1
train_12770_a,train_12770_a_1,1
train_8566_a,train_8566_a_1,1
train_14159_a,train_14159_a_1,1
train_12738_a,train_12738_a_1,1
train_16313_a,train_16313_a_1,1
train_1953_a,train_1953_a_1,1
train_13471_a,train_13471_a_1,1
train_4133_a,train_4133_a_1,1
train_18699_a,train_18699_a_1,1
train_18630_a,train_18630_a_1,1
train_18698_a,train_18698_a_1,1
train_14325_a,train_14325_a_1,1
train_827_a,train_827_a_1,1
train_11054_a,train_11054_a_1,1
train_19710_a,train_19710_a_1,1
train_4703_a,train_4703_a_1,1
train_12751_a,train_12751_a_1,1
train_773_a,train_773_a_1,1
train_12450_a,train_12450_a_1,1
train_11700_a,train_11700_a_1,1
train_12238_a,train_12238_a_1,1
train_10540_a,train_10540_a_1,1
train_10373_a,train_10373_a_1,1
train_6826_a,train_6826_a_1,1
train_7125_a,train_7125_a_1,1
train_6201_a,train_6201_a_1,1
train_19699_a,train_19699_a_1,1
train_17397_a,train_17397_a_1,1
train_18974_a,train_18974_a_1,1
train_16811_a,train_16811_a_1,1
train_10501_a,train_10501_a_1,1
train_11020_a,train_11020_a_1,1
train_12677_a,train_12677_a_1,1
train_17433_a,train_17433_a_1,1
train_4173_a,train_4173_a_1,1
train_6836_a,train_6836_a_1,1
train_14319_a,train_14319_a_1,1
train_14501_a,train_14501_a_1,1
train_2692_a,train_2692_a_1,1
train_10485_a,train_10485_a_1,1
train_5414_a,train_5414_a_1,1
train_14395_a,train_14395_a_1,1
train_16619_a,train_16619_a_1,1
train_13987_a,train_13987_a_1,1
train_12288_a,train_12288_a_1,1
train_14283_a,train_14283_a_1,1
train_14526_a,train_14526_a_1,1
train_12366_a,train_12366_a_1,1
train_19037_a,train_19037_a_1,1
train_9235_a,train_9235_a_1,1
train_7771_a,train_7771_a_1,1
train_16316_a,train_16316_a_1,1
train_8848_a,train_8848_a_1,1
train_16817_a,train_16817_a_1,1
train_11392_a,train_11392_a_1,1
train_3016_a,train_3016_a_1,1
train_17135_a,train_17135_a_1,1
train_18338_a,train_18338_a_1,1
train_19813_a,train_19813_a_1,1
train_2648_a,train_2648_a_1,1
train_6170_a,train_6170_a_1,1
train_10005_a,train_10005_a_1,1
train_13380_a,train_13380_a_1,1
train_6242_a,train_6242_a_1,1
train_2221_a,train_2221_a_1,1
train_1626_a,train_1626_a_1,1
train_11000_a,train_11000_a_1,1
train_3005_a,train_3005_a_1,1
train_2486_a,train_2486_a_1,1
train_8492_a,train_8492_a_1,1
train_13632_a,train_13632_a_1,1
train_15691_a,train_15691_a_1,1
train_11557_a,train_11557_a_1,1
train_9303_a,train_9303_a_1,1
train_8043_a,train_8043_a_1,1
train_17652_a,train_17652_a_1,1
